Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,TotalPorchSF,TotalOutdoorSF,TotalBsmtFinSF,QualCondScore,LivingArea_to_LotArea,BasementRatio,GarageArea_to_LivArea,Bedroom_to_TotalRooms,HouseAge,YearsSinceRemodel,GarageAge,IsNewHouse,HasSecondFloor,HasBasement,HasGarage,HasFireplace,HasPool,HasPorch,HasDeck,IsRemodeled,Quality_x_Area,Qual_x_Cond,Quality_x_TotalSF,Bathrooms_x_Bedrooms,OverallQual_Squared,GrLivArea_Squared
274,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,620,LwQ,620,0,1240,GasA,Gd,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,TA,6,Min1,1,Gd,Attchd,1958.0,RFn,1,338,TA,TA,Y,289,0,0,0,0,0,0,4,2009,WD,Normal,139000,2872,3.0,0,289,1240,12,0.17,0.43175487465181056,0.20710784313725492,0.5,51,21,51,0,0,1,1,1,0,0,1,1,9792,36,17232,9.0,36,2663424
275,20,RL,76.0,8314,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,0,270,816,GasA,TA,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,TA,5,Typ,0,,Attchd,1982.0,Unf,1,264,TA,TA,Y,168,0,0,0,0,0,0,6,2007,WD,Normal,124500,1632,1.0,0,168,546,12,0.09814770267019485,0.5,0.3235294117647059,0.4,25,25,25,0,0,1,1,0,0,0,1,0,4080,35,8160,2.0,25,665856
276,50,RL,55.0,7264,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasW,Gd,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,Ex,5,Typ,0,,Detchd,1978.0,Unf,2,672,TA,TA,Y,74,0,0,0,144,0,0,10,2009,WD,Normal,205000,2500,2.5,144,218,0,14,0.2131057268722467,0.3808,0.43410852713178294,0.6,84,2,31,0,1,1,1,0,0,1,1,1,10836,49,17500,7.5,49,2396304
277,20,RL,129.0,9196,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1560,1560,GasA,Ex,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2003.0,Fin,2,573,TA,TA,Y,100,150,0,0,0,0,0,4,2010,WD,Normal,201000,3120,2.0,150,250,0,12,0.16963897346672466,0.5,0.36730769230769234,0.42857142857142855,7,7,7,0,0,1,1,0,0,1,1,0,10920,35,21840,6.0,49,2433600
278,20,RL,140.0,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,GasA,Ex,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1951.0,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,0,6,2010,WD,Normal,141000,1728,1.0,0,0,120,9,0.04514578325843871,0.5,0.46296296296296297,0.5,59,59,59,0,0,1,1,0,0,0,0,0,3456,20,6912,2.0,16,746496
279,20,RL,107.0,14450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,GasA,Ex,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Ex,Attchd,2007.0,Fin,3,732,TA,TA,Y,124,98,0,0,142,0,0,5,2007,New,Partial,415298,4242,2.5,240,364,0,14,0.14678200692041524,0.5,0.3451202263083451,0.375,1,0,0,1,0,1,1,1,0,1,1,1,19089,45,38178,7.5,81,4498641
280,60,RL,83.0,10005,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,TA,TA,CBlock,Gd,TA,No,BLQ,392,Unf,0,768,1160,GasA,Ex,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1977.0,Fin,2,505,TA,TA,Y,288,117,0,0,0,0,0,3,2008,WD,Normal,192000,3182,2.5,117,405,392,12,0.20209895052473764,0.36455059710873666,0.24975272007912958,0.5,31,31,31,0,1,1,1,1,0,1,1,0,14154,35,22274,10.0,49,4088484
281,60,RL,82.0,11287,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,Unf,0,386,807,GasA,Gd,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1989.0,Fin,2,575,TA,TA,Y,0,84,0,196,0,0,0,1,2007,WD,Normal,228500,2789,2.5,280,280,421,13,0.17560024807300434,0.2893510218716386,0.29011099899091825,0.42857142857142855,18,18,18,0,1,1,1,1,0,1,0,0,13874,42,19523,7.5,49,3928324
282,20,FV,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,905,Unf,0,357,1262,GasA,Gd,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,Gd,5,Typ,0,,Attchd,2006.0,Fin,2,572,TA,TA,Y,0,120,0,0,0,0,0,5,2006,New,Partial,185000,2524,2.0,120,120,905,11,0.17527777777777778,0.5,0.4532488114104596,0.4,0,0,0,1,0,1,1,0,0,1,0,0,7572,30,15144,4.0,36,1592644
283,120,RL,34.0,5063,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,904,Unf,0,410,1314,GasA,Ex,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2008.0,RFn,2,626,TA,TA,Y,172,62,0,0,0,0,0,4,2009,ConLw,Normal,207500,2628,3.0,62,234,904,12,0.2595299229705708,0.5,0.4764079147640791,0.3333333333333333,2,1,1,1,0,1,1,1,0,1,1,1,9198,35,18396,6.0,49,1726596
284,20,RL,74.0,9612,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,GasA,Ex,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2008.0,Fin,3,898,TA,TA,Y,210,150,0,0,0,0,0,12,2009,New,Partial,244600,2936,2.0,150,360,0,13,0.1527257594673325,0.5,0.611716621253406,0.5,1,0,1,1,0,1,1,1,0,1,1,1,11744,40,23488,6.0,64,2155024
285,120,RL,50.0,8012,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,430,Unf,0,1145,1575,GasA,Gd,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,Gd,5,Typ,0,,Attchd,1992.0,RFn,2,529,TA,TA,Y,0,0,52,0,0,0,0,7,2007,WD,Normal,179200,3150,3.0,52,52,430,11,0.19658012980529208,0.5,0.3358730158730159,0.4,15,15,15,0,0,1,1,0,0,1,0,0,9450,30,18900,6.0,36,2480625
286,160,FV,35.0,4251,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,625,625,GasA,Ex,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,Gd,5,Typ,0,,Detchd,2006.0,RFn,2,528,TA,TA,Y,0,54,0,0,0,0,0,6,2007,New,Partial,164700,1875,2.5,54,54,0,12,0.29404845918607386,0.3333333333333333,0.4224,0.4,1,0,1,1,1,1,1,0,0,1,0,1,8750,35,13125,5.0,49,1562500
287,50,RL,77.0,9786,Pave,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,312,912,GasA,TA,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,1962.0,RFn,2,440,TA,TA,Y,0,0,0,0,128,0,0,6,2006,WD,Normal,159000,2646,1.5,128,128,600,13,0.1771919068056407,0.34467120181405897,0.2537485582468281,0.42857142857142855,44,25,44,0,1,1,1,1,0,1,0,1,10404,42,15876,4.5,36,3006756
288,20,RL,73.0,8125,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,0,244,858,GasA,TA,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,TA,5,Typ,0,,,0.0,,0,0,,,Y,0,0,0,0,0,0,0,6,2006,WD,Normal,88000,1716,1.0,0,0,614,8,0.1056,0.5,0.0,0.6,35,35,0,0,0,1,0,0,0,0,0,0,3432,16,6864,3.0,16,736164
289,20,RL,71.0,9819,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,450,Unf,0,432,882,GasA,TA,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1970.0,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,0,2,2010,WD,Normal,122000,1782,1.0,0,0,450,10,0.09165902841429881,0.494949494949495,0.3111111111111111,0.6,43,43,40,0,0,1,1,0,0,0,0,0,4500,25,8910,3.0,25,810000
290,70,RL,60.0,8730,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,2003,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,GasA,Ex,Y,FuseA,698,698,0,1396,0,0,1,0,3,1,TA,7,Typ,0,,Detchd,2003.0,Unf,1,384,TA,TA,Y,0,0,0,0,259,0,0,7,2007,WD,Normal,153575,2094,1.0,259,259,0,13,0.15990836197021763,0.3333333333333333,0.27507163323782235,0.42857142857142855,92,4,4,0,1,1,1,0,0,1,0,1,8376,42,12564,3.0,36,1948816
291,60,RL,120.0,15611,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,GasA,Ex,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,2,685,Gd,TA,Y,0,51,0,0,0,0,0,7,2006,New,Partial,233230,2998,2.5,51,51,0,13,0.12292614182307347,0.3599066044029353,0.3569567483064096,0.375,0,0,0,1,1,1,1,1,0,1,0,0,15352,40,23984,7.5,64,3682561
292,190,RL,55.0,5687,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Fa,PConc,TA,Fa,No,Rec,210,Unf,0,570,780,GasA,Ex,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fa,9,Typ,0,,,0.0,,0,0,,,N,0,184,0,0,0,0,0,3,2008,WD,Normal,135900,2496,3.0,184,184,210,11,0.30174081237911027,0.3125,0.0,0.6666666666666666,96,8,0,0,1,1,0,0,0,1,0,1,8580,30,12480,18.0,25,2944656
293,50,RL,60.0,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,GasA,Gd,Y,SBrkr,1148,568,0,1716,0,0,1,1,3,1,TA,8,Min2,1,Gd,Attchd,1949.0,Unf,1,281,TA,TA,Y,0,0,0,0,160,0,0,1,2009,WD,Normal,131000,2484,1.5,160,160,292,9,0.1504075729687089,0.30917874396135264,0.16375291375291376,0.375,60,1,60,0,1,1,1,1,0,1,0,1,8580,20,12420,4.5,25,2944656
294,60,RL,80.0,16659,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,1994,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,TA,No,ALQ,795,Unf,0,0,795,GasA,Fa,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1977.0,Fin,2,539,TA,TA,Y,0,250,0,0,0,0,0,3,2006,WD,Normal,235000,3058,3.5,250,250,795,14,0.13584248754427036,0.25997383911052974,0.23817940786566505,0.3333333333333333,29,12,29,0,1,1,1,1,0,1,0,1,15841,49,21406,10.5,49,5121169
295,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,1285,Unf,0,131,1416,GasA,TA,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1953.0,Fin,2,418,TA,TA,Y,110,0,0,0,0,0,0,10,2009,WD,Normal,167000,3060,2.0,0,110,1285,11,0.17125,0.4627450980392157,0.2542579075425791,0.42857142857142855,56,56,56,0,0,1,1,1,0,0,1,0,9864,30,18360,6.0,36,2702736
296,80,RL,37.0,7937,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1984,1984,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,819,Unf,0,184,1003,GasA,TA,Y,SBrkr,1003,0,0,1003,1,0,1,0,3,1,TA,6,Typ,0,,Detchd,1984.0,Unf,2,588,TA,TA,Y,120,0,0,0,0,0,0,3,2006,WD,Normal,142500,2006,2.0,0,120,819,12,0.12637016504976692,0.5,0.5862412761714856,0.5,22,22,22,0,0,1,1,0,0,0,1,0,6018,36,12036,6.0,36,1006009
297,50,RM,75.0,13710,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,420,Unf,0,490,910,GasA,TA,Y,FuseA,910,648,0,1558,0,0,1,1,4,1,TA,6,Typ,0,,Attchd,1950.0,Unf,1,282,TA,TA,Y,289,0,0,0,0,0,0,6,2007,WD,Normal,152000,2468,1.5,0,289,420,10,0.11363967906637491,0.3687196110210697,0.1810012836970475,0.6666666666666666,57,57,57,0,1,1,1,0,0,0,1,0,7790,25,12340,6.0,25,2427364
298,60,FV,66.0,7399,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,1997,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,649,Unf,0,326,975,GasA,Ex,Y,SBrkr,975,975,0,1950,0,0,2,1,3,1,Gd,7,Typ,1,TA,Detchd,1997.0,RFn,2,576,TA,TA,Y,0,10,0,0,198,0,0,6,2007,WD,Normal,239000,2925,2.5,208,208,649,12,0.26354912826057575,0.3333333333333333,0.2953846153846154,0.42857142857142855,10,9,10,0,1,1,1,1,0,1,0,1,13650,35,20475,7.5,49,3802500
299,60,RL,90.0,11700,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,Gd,TA,CBlock,TA,TA,No,ALQ,384,Rec,175,143,702,GasA,Gd,Y,SBrkr,1041,702,0,1743,0,1,1,2,3,1,TA,7,Typ,1,Gd,Attchd,1968.0,Unf,2,539,TA,TA,Y,224,0,0,0,0,0,0,6,2007,WD,Normal,175000,2445,2.5,0,224,559,12,0.14897435897435898,0.2871165644171779,0.3092369477911647,0.42857142857142855,39,39,39,0,1,1,1,1,0,0,1,0,10458,36,14670,7.5,36,3038049
300,20,RL,80.0,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1092,1092,GasA,Ex,Y,SBrkr,1152,0,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1950.0,Unf,1,300,TA,TA,Y,0,36,0,0,0,0,0,8,2009,WD,Family,158500,2244,1.5,36,36,0,14,0.08228571428571428,0.48663101604278075,0.2604166666666667,0.5,59,5,59,0,0,1,1,1,0,1,0,1,6912,48,13464,4.5,36,1327104
301,190,RL,90.0,15750,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,TA,Mn,BLQ,841,Unf,0,324,1165,GasA,TA,Y,SBrkr,1336,0,0,1336,1,0,1,0,2,1,TA,5,Typ,2,Gd,Attchd,1953.0,Unf,1,375,TA,TA,Y,0,0,0,0,0,0,0,6,2006,WD,Normal,157000,2501,2.0,0,0,841,10,0.08482539682539683,0.4658136745301879,0.280688622754491,0.4,53,53,53,0,0,1,1,1,0,0,0,0,6680,25,12505,4.0,25,1784896
302,60,RL,66.0,16226,Pave,IR3,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,GasA,Ex,Y,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1998.0,Fin,2,683,TA,TA,Y,208,50,0,0,0,0,0,5,2007,WD,Normal,267000,3480,2.5,50,258,281,13,0.1511154936521632,0.29540229885057473,0.27854812398042417,0.4444444444444444,9,8,9,0,1,1,1,1,0,1,1,1,19616,40,27840,10.0,64,6012304
303,20,RL,118.0,13704,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,GasA,Ex,Y,SBrkr,1541,0,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,3,843,TA,TA,Y,468,81,0,0,0,0,0,1,2006,WD,Normal,205000,3082,2.0,81,549,0,12,0.11244892002335084,0.5,0.5470473718364698,0.5,5,4,5,1,0,1,1,1,0,1,1,1,10787,35,21574,6.0,49,2374681
304,20,RL,70.0,9800,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,GasA,TA,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,,Attchd,1975.0,Unf,2,552,TA,TA,Y,256,0,0,0,0,0,0,7,2006,WD,Abnorml,149900,1788,2.0,0,256,894,12,0.09122448979591836,0.5,0.6174496644295302,0.6,34,34,31,0,0,1,1,0,0,0,1,0,4470,35,8940,6.0,25,799236
305,75,RM,87.0,18386,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1470,1470,GasA,Ex,Y,SBrkr,1675,1818,0,3493,0,0,3,0,3,1,Gd,10,Typ,1,Ex,Attchd,2003.0,Unf,3,870,TA,TA,Y,302,0,0,0,0,0,0,5,2008,WD,Normal,295000,4963,3.0,0,302,0,16,0.1899815076688785,0.29619181946403383,0.24906956770684224,0.3,128,6,5,0,1,1,1,1,0,0,1,1,24451,63,34741,9.0,49,12201049
306,20,RL,80.0,10386,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,GasA,Ex,Y,SBrkr,2000,0,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,,Attchd,2004.0,Fin,3,888,TA,TA,Y,168,0,0,0,0,0,0,7,2007,WD,Normal,305900,4000,3.0,0,168,1464,13,0.19256691700365877,0.5,0.444,0.375,3,2,3,1,0,1,1,0,0,0,1,1,16000,40,32000,9.0,64,4000000
307,60,RL,116.0,13474,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,7,5,1990,1991,Gable,CompShg,HdBoard,Plywood,BrkFace,246.0,Gd,TA,CBlock,Gd,TA,No,ALQ,700,Unf,0,0,700,GasA,Gd,Y,SBrkr,1122,1121,0,2243,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1990.0,RFn,3,746,TA,TA,Y,127,44,224,0,0,0,0,6,2007,WD,Normal,225000,2943,3.5,268,395,700,12,0.16646875463856317,0.23785253143051308,0.3325902808738297,0.5,17,16,17,0,1,1,1,1,0,1,1,1,15701,35,20601,14.0,49,5031049
308,50,RM,60.0,7920,Pave,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,319,319,GasA,TA,Y,FuseA,1035,371,0,1406,0,0,1,0,3,1,Fa,6,Typ,0,,,0.0,,0,0,,,N,0,144,0,0,0,0,0,3,2008,WD,Normal,89500,1725,1.0,144,144,0,13,0.17752525252525253,0.18492753623188407,0.0,0.5,88,58,0,0,1,1,0,0,0,1,0,1,8436,42,10350,3.0,36,1976836
309,30,RL,65.5,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,GasA,Ex,Y,SBrkr,861,0,0,861,0,0,1,0,1,1,TA,4,Typ,0,,Detchd,1961.0,Unf,2,539,TA,TA,Y,158,0,0,0,0,0,0,3,2009,WD,Normal,82500,1722,1.0,0,158,262,9,0.06976178901312591,0.5,0.6260162601626016,0.25,69,59,48,0,0,1,1,0,0,0,1,1,3444,20,6888,1.0,16,741321
310,20,RL,90.0,12378,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,GasA,Ex,Y,SBrkr,1944,0,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Ex,Attchd,2003.0,Fin,3,708,TA,TA,Y,208,175,0,0,0,0,0,11,2006,WD,Normal,360000,3840,3.0,175,383,1274,14,0.1570528356761997,0.49375,0.36419753086419754,0.375,3,2,3,1,0,1,1,1,0,1,1,1,17496,45,34560,9.0,81,3779136
311,60,RL,65.0,7685,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,112.0,TA,TA,PConc,Gd,TA,No,ALQ,518,Unf,0,179,697,GasA,Gd,Y,SBrkr,697,804,0,1501,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1993.0,Fin,2,420,TA,TA,Y,190,63,0,0,0,0,0,5,2006,WD,Normal,165600,2198,2.5,63,253,518,11,0.19531554977228366,0.31710646041856233,0.2798134576948701,0.5,13,12,13,0,1,1,1,1,0,1,1,1,9006,30,13188,7.5,36,2253001
312,20,RL,50.0,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680,Unf,0,292,972,GasA,Ex,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,0,5,2009,WD,Normal,132000,1944,2.0,0,0,680,12,0.1215,0.5,0.24691358024691357,0.4,61,7,61,0,0,1,1,1,0,0,0,1,5832,36,11664,4.0,36,944784
